
In [3]: s.strip_dirs().sort_stats("time").print_stats()                                                                                                                                                     
Wed Dec 26 21:55:21 2018    Profile.prof

         181559334 function calls (177492916 primitive calls) in 5626.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89 1804.680   20.277 1804.680   20.277 {built-in method scipy.signal.sigtools._medfilt2d}
      268 1037.329    3.871 1037.329    3.871 {built-in method scipy.ndimage._nd_image.geometric_transform}
  1450225    0.957    0.000    1.209    0.000 configobj.py:550(__getitem__)
   119736    0.952    0.000    3.071    0.000 card.py:294(value)
        1    0.939    0.939 5626.741 5626.741 analyse.py:18(mag_variations)
     2768    0.888    0.000    0.888    0.000 {built-in method io.open}
      179    0.857    0.005   46.545    0.260 nanfunctions.py:778(nanmean)
   622208    0.840    0.000    0.840    0.000 validate.py:637(_parse_with_caching)
  1679822    0.817    0.000    1.252    0.000 card.py:462(field_specifier)
   103672    0.809    0.000    5.860    0.000 card.py:715(_parse_value)
  4210541    0.801    0.000    0.801    0.000 {method 'get' of 'dict' objects}
  3344785    0.795    0.000    0.795    0.000 {method 'items' of 'dict' objects}
  1524695    0.744    0.000    0.744    0.000 {method 'split' of 'str' objects}
   927055    0.701    0.000    1.725    0.000 card.py:545(normalize_keyword)
   293596    0.696    0.000   11.637    0.000 card.py:274(value)
  2656074    0.682    0.000    0.696    0.000 {built-in method builtins.issubclass}
       89    0.676    0.008 1948.406   21.892 chains.py:129(actual_process)
   622208    0.674    0.000    2.564    0.000 validate.py:593(check)
     4866    0.667    0.000    0.687    0.000 header.py:550(_find_end_card)
      178    0.664    0.004  101.539    0.570 _warps.py:34(resize)
   207998    0.657    0.000    1.960    0.000 copy.py:66(copy)
   622208    0.638    0.000    3.202    0.000 configuration.py:442(_validate_val)
   247106    0.608    0.000    6.567    0.000 card.py:154(__init__)
    54672    0.607    0.000    3.345    0.000 formats.py:755(set_jds)
   622202    0.589    0.000   11.215    0.000 configuration.py:270(__get__)
   267309    0.579    0.000    1.332    0.000 header.py:1611(_cardindex)
   205776    0.556    0.000    5.760    0.000 card.py:579(_check_if_rvkc)
   622208    0.507    0.000    1.050    0.000 validate.py:651(_check_value)
    15544    0.490    0.000    5.510    0.000 core.py:333(_get_time_fmt)
  1254617    0.455    0.000    0.455    0.000 {method 'strip' of 'str' objects}
   101972    0.436    0.000    4.488    0.000 card.py:934(_format_image)
   235132    0.413    0.000    0.640    0.000 card.py:629(_check_if_rvkc_image)
   140956    0.405    0.000    0.772    0.000 card.py:675(_parse_keyword)
     2012    0.400    0.000   11.756    0.006 base.py:971(_verify)
   107200    0.398    0.000    7.855    0.000 baseframe.py:819(get_representation_component_names)
209606/203174    0.393    0.000    1.422    0.000 copy.py:268(_reconstruct)
   101972    0.388    0.000    3.081    0.000 card.py:898(_format_value)
    98046    0.387    0.000    3.528    0.000 header.py:130(__getitem__)
821566/821486    0.386    0.000    0.601    0.000 {built-in method builtins.hasattr}
    43953    0.382    0.000    0.743    0.000 _strptime.py:318(_strptime)
245194/4156    0.377    0.000    0.513    0.000 verify.py:136(iter_lines)
163387/163386    0.359    0.000    0.891    0.000 core.py:1736(__call__)
   622208    0.349    0.000    0.543    0.000 validate.py:897(is_boolean)
     1284    0.342    0.000    3.136    0.002 header.py:322(fromstring)
   460424    0.325    0.000    0.325    0.000 baseframe.py:792(<listcomp>)
      728    0.323    0.000  459.121    0.631 fits.py:156(write)
    61461    0.323    0.000    2.155    0.000 quantity.py:274(__new__)
   164716    0.322    0.000    0.464    0.000 re.py:271(_compile)
1086294/1084862    0.316    0.000    0.363    0.000 {method 'join' of 'str' objects}
     5192    0.304    0.000    7.140    0.001 header.py:75(__init__)
    84508    0.304    0.000    0.541    0.000 core.py:529(_get_physical_type_id)
   484940    0.299    0.000    0.299    0.000 {method 'union' of 'set' objects}
  1557453    0.280    0.000    0.280    0.000 {method '__getitem__' of 'dict' objects}
    27336    0.278    0.000    0.459    0.000 formats.py:1083(set_jds)
    41004    0.266    0.000    1.453    0.000 formats.py:714(parse_string)
   880234    0.261    0.000    0.261    0.000 {method 'group' of 're.Match' objects}
   241978    0.260    0.000    0.260    0.000 verify.py:129(__init__)
    77110    0.258    0.000    0.258    0.000 util.py:745(_str_to_num)
   106150    0.253    0.000    0.443    0.000 card.py:224(keyword)
   965833    0.235    0.000    0.235    0.000 {method 'upper' of 'str' objects}
   464718    0.233    0.000    0.233    0.000 {method 'find' of 'str' objects}
    82010    0.233    0.000    0.321    0.000 arrayprint.py:453(wrapper)
   100768    0.232    0.000    4.617    0.000 formats.py:117(__init__)
    82010    0.231    0.000    0.553    0.000 arrayprint.py:1457(array_str)
45442/37668    0.230    0.000  166.265    0.004 decorators.py:705(__get__)
10184/5360    0.225    0.000   14.143    0.003 baseframe.py:401(__init__)
   666322    0.216    0.000    0.216    0.000 header.py:318(_modified)
    98638    0.208    0.000    0.304    0.000 header.py:1757(_countblanks)
    98284    0.203    0.000    0.547    0.000 card.py:1183(_format_value)
64856/59764    0.201    0.000    6.160    0.000 baseframe.py:1429(__getattr__)
    16617    0.191    0.000    0.928    0.000 core.py:2035(_expand_and_gather)
86922/1698    0.189    0.000   16.378    0.010 copy.py:132(deepcopy)
   469644    0.187    0.000    0.187    0.000 {method 'index' of 'str' objects}
   209606    0.186    0.000    0.199    0.000 {method '__reduce_ex__' of 'object' objects}
   138017    0.181    0.000    1.209    0.000 quantity.py:394(__array_finalize__)
     6176    0.172    0.000    0.172    0.000 {built-in method posix.stat}
   140956    0.168    0.000    0.469    0.000 card.py:531(fromstring)
   199066    0.168    0.000    4.656    0.000 card.py:497(image)
   211803    0.166    0.000    0.166    0.000 {method 'update' of 'dict' objects}
      728    0.163    0.000    2.656    0.004 header.py:1193(extend)
   148380    0.163    0.000    0.854    0.000 header.py:117(__contains__)
    63338    0.159    0.000    0.485    0.000 quantity.py:849(to_value)
   298154    0.158    0.000    0.278    0.000 card.py:510(is_blank)
40736/24120    0.156    0.000    1.045    0.000 sky_coordinate.py:665(__getattr__)
   418191    0.156    0.000    0.156    0.000 {method 'startswith' of 'str' objects}
   101972    0.151    0.000    0.419    0.000 card.py:886(_format_keyword)
77466/49324    0.151    0.000   14.024    0.000 attributes.py:97(__get__)
141006/140738    0.150    0.000    0.871    0.000 {method 'view' of 'numpy.ndarray' objects}
   202486    0.147    0.000    2.091    0.000 header.py:773(<genexpr>)
   262124    0.145    0.000    0.157    0.000 {built-in method __new__ of type object at 0x10ccdb050}
   190541    0.142    0.000    0.143    0.000 {built-in method _abc._abc_instancecheck}
   882795    0.139    0.000    0.139    0.000 {method 'items' of 'collections.OrderedDict' objects}
   153222    0.138    0.000    0.228    0.000 header.py:1772(_haswildcard)
    73622    0.136    0.000    0.268    0.000 util.py:520(translate)
   102672    0.136    0.000    7.352    0.000 header.py:929(items)
   205868    0.133    0.000    0.133    0.000 {method 'rsplit' of 'str' objects}
    72360    0.130    0.000    0.178    0.000 core.py:716(__hash__)
   105518    0.128    0.000    0.266    0.000 card.py:427(comment)
   177684    0.127    0.000    0.277    0.000 fnmatch.py:64(fnmatchcase)
    27692    0.126    0.000    0.477    0.000 quantity.py:708(_new_view)
    39128    0.125    0.000    0.937    0.000 core.py:760(is_equivalent)
     1017    0.125    0.000    0.125    0.000 {built-in method posix.getcwd}
120012/34492    0.125    0.000    0.183    0.000 util.py:164(itersubclasses)
   316242    0.124    0.000    0.212    0.000 header.py:113(__iter__)
    40742    0.122    0.000    0.329    0.000 baseframe.py:687(get_frame_attr_names)
    41004    0.120    0.000    0.759    0.000 {built-in method time.strptime}
      728    0.119    0.000    0.306    0.000 header.py:595(tostring)
   206390    0.118    0.000    0.173    0.000 copyreg.py:87(__newobj__)
   142576    0.115    0.000    0.225    0.000 baseframe.py:692(get_representation_cls)
25704/16256    0.113    0.000    1.028    0.000 header.py:191(__delitem__)
    56280    0.112    0.000    0.402    0.000 baseframe.py:1472(__setattr__)
   143278    0.111    0.000    0.133    0.000 metadata.py:45(__setitem__)
    15544    0.111    0.000    0.189    0.000 core.py:345(<listcomp>)
      268    0.110    0.000    2.975    0.011 column.py:1390(_init_from_table)
    54672    0.108    0.000    0.385    0.000 formats.py:840(<listcomp>)
    21709    0.108    0.000    0.596    0.000 core.py:698(__rmul__)
   139634    0.107    0.000    0.551    0.000 re.py:170(match)
    54672    0.099    0.000    0.496    0.000 formats.py:833(_select_subfmts)
      465    0.098    0.000    0.098    0.000 {built-in method marshal.loads}
   181599    0.097    0.000    0.097    0.000 {method 'endswith' of 'str' objects}
     1457    0.093    0.000    0.093    0.000 {method 'write' of '_io.FileIO' objects}
    35644    0.093    0.000    0.994    0.000 quantity.py:1716(_set_unit)
   109564    0.090    0.000    0.376    0.000 card.py:414(comment)
    14472    0.090    0.000    5.635    0.000 core.py:1414(_time_difference)
    73662    0.089    0.000    0.089    0.000 {method 'translate' of 'str' objects}
      728    0.088    0.000  459.227    0.631 dto.py:54(save)
   190541    0.087    0.000    0.230    0.000 abc.py:137(__instancecheck__)
    16080    0.086    0.000    0.786    0.000 mapbase.py:713(spatial_units)
     9916    0.085    0.000    0.668    0.000 angles.py:632(_wrap_internal)
   110325    0.085    0.000    0.129    0.000 quantity.py:770(_set_unit)
   415862    0.084    0.000    0.084    0.000 {method 'lower' of 'str' objects}
    41004    0.084    0.000    1.562    0.000 formats.py:870(parse_string)
   522420    0.084    0.000    0.084    0.000 {method 'keys' of 'collections.OrderedDict' objects}
248663/150381    0.083    0.000    1.125    0.000 {built-in method builtins.next}
     3928    0.083    0.000    1.410    0.000 image.py:310(update_header)
    36717    0.080    0.000    0.367    0.000 core.py:2036(add_unit)
       16    0.079    0.005    0.089    0.006 {built-in method _imp.create_dynamic}
    39128    0.079    0.000    0.189    0.000 core.py:612(_normalize_equivalencies)
77272/73252    0.078    0.000    0.424    0.000 core.py:2082(decompose)
     9112    0.077    0.000    0.077    0.000 {function Quantity.__array_ufunc__ at 0x115af2400}
    77168    0.076    0.000    0.114    0.000 <frozen importlib._bootstrap>:416(parent)
   235394    0.075    0.000    0.075    0.000 {method 'lstrip' of 'str' objects}
4656/1744    0.075    0.000  442.399    0.254 decorators.py:447(wrapper)
     1072    0.075    0.000    5.099    0.005 mapbase.py:280(wcs)
    32784    0.075    0.000    0.382    0.000 core.py:901(_to)
     1876    0.074    0.000    0.335    0.000 formats.py:573(set_jds)
   245848    0.071    0.000    0.071    0.000 core.py:1544(name)
    15544    0.070    0.000    0.149    0.000 formats.py:566(_check_val_type)
     1608    0.069    0.000    1.925    0.001 mapbase.py:741(_rotation_matrix_from_crota)
83106/82504    0.069    0.000    0.781    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1744    0.068    0.000    7.839    0.004 image.py:38(__init__)
